CUI|Concept|CCS|Phecode|CTD|HPO|HDO
C0206638|'Giant Cell Tumor of the Bone::GIANT CELL TUMOR, BENIGN'|[47]|['Neoplasms']|['Cancer']|['HP:0002664 ! Neoplasm']|['DOID:14566 ! disease of cellular proliferation']
C0206641|'Multiple Osteochondromas::Osteochondromatosis'|[44]|['Neoplasms']|['Cancer', 'Musculoskeletal disease']|['HP:0002664 ! Neoplasm']|['DOID:630 ! genetic disease']
C0206650|'Fibroadenoma'|[47]|['Neoplasms']|['Cancer']|['HP:0002664 ! Neoplasm']|['DOID:14566 ! disease of cellular proliferation']
C0206651|'Clear Cell Sarcoma'|[21, 38, 39, 41]|['Musc/Skel', 'Neoplasms']|['Cancer']|['HP:0002664 ! Neoplasm']|['DOID:14566 ! disease of cellular proliferation']
C0206673|'Syringomas'|[47]|['Neoplasms']|['Cancer']|['HP:0001574 ! Abnormality of the integument']|['DOID:14566 ! disease of cellular proliferation']
C0206674|'Adenoma, Villous'|[47]|['Neoplasms']|['Cancer']|['HP:0002664 ! Neoplasm']|['DOID:14566 ! disease of cellular proliferation']
C0206677|'Adenomatous Polyps::Adenomatous Polyp'|[47]|['Neoplasms']|['Cancer']|['HP:0002664 ! Neoplasm']|['DOID:14566 ! disease of cellular proliferation']
C0206681|'Clear Cell Carcinoma'|[43]|['Neoplasms']|['Cancer']|['HP:0002664 ! Neoplasm']|['DOID:14566 ! disease of cellular proliferation']
C0206686|'ADRENAL CARCINOMA'|[41]|['Neoplasms']|['Cancer', 'Endocrine system disease']|['HP:0000818 ! Abnormality of the endocrine system']|['DOID:14566 ! disease of cellular proliferation']
C0206692|'Carcinoma, Lobular::Lobular Carcinoma of the Breast::lobular breast cancer'|[24, 31, 35, 43, 167]|['Genitourinary', 'Neoplasms']|['Cancer', 'Skin disease']|['HP:0002664 ! Neoplasm']|['DOID:14566 ! disease of cellular proliferation']
C0206698|'Bile duct cancer::Cholangiocarcinoma'|[16]|['Neoplasms']|['Cancer']|['HP:0025031 ! Abnormality of the digestive system']|['DOID:14566 ! disease of cellular proliferation']
C0206733|'strawberry hemangioma'|[217]|['Cong', 'Neoplasms']|['Cancer']|['HP:0001626 ! Abnormality of the cardiovascular system']|['DOID:7 ! disease of anatomical entity']
C0206739|'Spitz naevus'|[47]|['Neoplasms']|['Cancer']|['HP:0001574 ! Abnormality of the integument']|['DOID:7 ! disease of anatomical entity']
C0206754|'Neuroendocrine tumour'|[47]|['Neoplasms']|['Cancer']|['HP:0000707 ! Abnormality of the nervous system', 'HP:0000818 ! Abnormality of the endocrine system']|['DOID:14566 ! disease of cellular proliferation']
C0220603|'Brain Neoplasm::brain tumor childhood'|[43]|['Neoplasms']|['Cancer']|['HP:0002664 ! Neoplasm']|['DOID:14566 ! disease of cellular proliferation']
C0220605|'Adult Non-Hodgkin Lymphoma::Non-Hodgkin Lymphoma'|[38]|['Neoplasms']|['Cancer', 'Immune system disease', 'Lymphatic disease']|['HP:0001871 ! Abnormality of blood and blood-forming tissues']|['DOID:14566 ! disease of cellular proliferation']
C0220624|'Brain Neoplasm'|[44]|['Neoplasms']|['Cancer', 'Nervous system disease']|['HP:0000707 ! Abnormality of the nervous system']|['DOID:14566 ! disease of cellular proliferation']
C0220630|'Liver Cancer'|[16]|['Neoplasms']|['Cancer']|['HP:0002664 ! Neoplasm']|['DOID:14566 ! disease of cellular proliferation']
C0220633|'Intraocular Melanoma'|[41]|['Neoplasms']|['Cancer', 'Eye disease']|['HP:0002664 ! Neoplasm']|['DOID:14566 ! disease of cellular proliferation']
C0220636|'Cancer, Salivary Gland::Cancer of the Salivary Gland::Salivary Gland Cancers'|[11]|['Neoplasms']|['Cancer', 'Mouth disease']|['HP:0000152 ! Abnormality of head or neck']|['DOID:14566 ! disease of cellular proliferation']
C0220641|'Oral Cancer::Oral Malignancy'|[43]|['Neoplasms']|['Cancer']|['HP:0002664 ! Neoplasm']|['DOID:14566 ! disease of cellular proliferation']
C0220647|'METASTATIC CARCINOMA WITH UNKNOWN PRIMARY::cancer of unknown origin::Cancer of unknown primary origin::Carcinoma of Unknown Primary'|[42, 43]|['Neoplasms']|['Cancer', 'Pathology (process)']|['HP:0002664 ! Neoplasm']|['DOID:14566 ! disease of cellular proliferation']
C0220650|'brain metastatic disease::metastatic brain cancer::secondary brain::Metastasis to brain::metastatic brain tumor::Brain Metastases::Brain Metastasis::brain metastatic cancer'|[42]|['Neoplasms']|['Cancer', 'Nervous system disease']|['HP:0000707 ! Abnormality of the nervous system']|['DOID:14566 ! disease of cellular proliferation']
C0220697|'POLYDACTYLY, POSTAXIAL'|[217]|['Cong']|['Congenital abnormality', 'Musculoskeletal disease']|['HP:0033127 ! Abnormality of the musculoskeletal system', 'HP:0040064 ! Abnormality of limbs']|['DOID:0080015 ! physical disorder']
C0220704|'Velo-Cardio-Facial Syndrome'|[217]|['Cong']|['Cardiovascular disease', 'Congenital abnormality', 'Endocrine system disease', 'Genetic disease (inborn)', 'Lymphatic disease', 'Musculoskeletal disease']|['HP:0000707 ! Abnormality of the nervous system']|['DOID:225 ! syndrome', 'DOID:630 ! genetic disease']"
C0220769|'OKS'|[214]|['Cong']|['Congenital abnormality', 'Digestive system disease', 'Genetic disease (inborn)', 'Nervous system disease', 'Pathology (anatomical condition)', 'Signs and symptoms']|['HP:0025031 ! Abnormality of the digestive system']|['DOID:225 ! syndrome']
C0220810|'Birth Defects'|[]|[]|[]|[]|[]
C0221002|'HYPERPARATHYROIDISM, PRIMARY'|[51]|['Endo']|['Endocrine system disease']|['HP:0000818 ! Abnormality of the endocrine system']|['DOID:7 ! disease of anatomical entity']
C0221047|'BRADY-TACHY SYNDROME'|[106]|['Cardio']|['Cardiovascular disease']|['HP:0001626 ! Abnormality of the cardiovascular system']|['DOID:7 ! disease of anatomical entity']
C0221056|'Dermatomyositis NOS'|[210]|['Musc/Skel']|['Connective tissue disease', 'Musculoskeletal disease', 'Nervous system disease', 'Skin disease']|['HP:0001574 ! Abnormality of the integument', 'HP:0002715 ! Abnormality of the immune system', 'HP:0033127 ! Abnormality of the musculoskeletal system']|['DOID:7 ! disease of anatomical entity']
C0221060|'Möbius Syndrome'|[217]|['Cong']|['Congenital abnormality', 'Infant-newborn disease', 'Mouth disease', 'Nervous system disease']|['HP:0000152 ! Abnormality of head or neck', 'HP:0000707 ! Abnormality of the nervous system']|['DOID:225 ! syndrome', 'DOID:7 ! disease of anatomical entity']"
C0221074|'Post-Partum Depression'|[670]|['Preg']|['Mental disorder', 'Pregnancy complication']|['HP:0000707 ! Abnormality of the nervous system']|['DOID:150 ! disease of mental health']
C0221155|'Hypertension, systolic'|[238]|['Cardio']|['Cardiovascular disease']|['HP:0001626 ! Abnormality of the cardiovascular system']|['DOID:7 ! disease of anatomical entity']
C0221163|'MOTOR DISORDER'|[95]|['Neuro']|['Mental disorder']|['HP:0000707 ! Abnormality of the nervous system']|['DOID:7 ! disease of anatomical entity']
C0221166|'PARAPARESIS'|[82]|['Neuro']|['Nervous system disease', 'Signs and symptoms']|['HP:0000707 ! Abnormality of the nervous system']|['DOID:7 ! disease of anatomical entity']
C0221170|'Stiff'|[95]|['Neuro']|['Nervous system disease']|['HP:0033127 ! Abnormality of the musculoskeletal system']|['DOID:7 ! disease of anatomical entity']
C0221207|'Urticaria, cold-induced'|[253]|['Derm']|['Wounds and injuries']|['HP:0001626 ! Abnormality of the cardiovascular system']|['DOID:7 ! disease of anatomical entity']
C0221210|'Malrotation of gut'|[217]|['Cong']|['Congenital abnormality', 'Digestive system disease', 'Pathology (anatomical condition)']|['HP:0025031 ! Abnormality of the digestive system']|['DOID:7 ! disease of anatomical entity']
C0221228|'COMEDO'|[200]|['Derm']|['Skin disease']|['HP:0001574 ! Abnormality of the integument']|['DOID:7 ! disease of anatomical entity']
C0221232|'Hive'|[253]|['Derm']|['Immune system disease', 'Skin disease']|['HP:0001626 ! Abnormality of the cardiovascular system']|['DOID:7 ! disease of anatomical entity']
C0221244|'DANDRUFF'|[198]|['Derm']|['Skin disease']|['HP:0001574 ! Abnormality of the integument']|['DOID:7 ! disease of anatomical entity']
C0221252|'Eruptive xanthomas'|[58]|['Metab']|['Metabolic disease']|['HP:0001574 ! Abnormality of the integument']|['DOID:0014667 ! disease of metabolism']
C0221253|'Tendon xanthomas'|[58]|['Metab']|['Metabolic disease']|['HP:0001574 ! Abnormality of the integument', 'HP:0033127 ! Abnormality of the musculoskeletal system']|['DOID:0014667 ! disease of metabolism']
C0221269|'PSEUDO LYMPHOMA'|[197]|['Neoplasms']|['Lymphatic disease']|['HP:0002664 ! Neoplasm']|['DOID:7 ! disease of anatomical entity']
C0221273|'POLYPS, JUVENILE::Juvenile Polyp'|[217]|['Cong', 'Neoplasms']|['Cancer']|['HP:0002664 ! Neoplasm']|['DOID:14566 ! disease of cellular proliferation', 'DOID:225 ! syndrome']"
C0221352|'Webbed fingers'|[217]|['Cong']|['Fetal disease', 'Pregnancy complication']|['HP:0033127 ! Abnormality of the musculoskeletal system']|['DOID:7 ! disease of anatomical entity']
C0221353|'HORSESHOE KIDNEY'|[215]|['Cong']|['Congenital abnormality', 'Urogenital disease (female)', 'Urogenital disease (male)']|['HP:0000119 ! Abnormality of the genitourinary system']|['DOID:225 ! syndrome', 'DOID:7 ! disease of anatomical entity']"
C0221423|'Sick::Illness, unspecified::Illness::illnesses::ailment::ailments'|[]|['Signs/Symptoms']|['Nervous system disease', 'Signs and symptoms']|[]|[]
C0221480|'Recurrent Depressive episode::Recurrent depression'|[657]|['Mental']|['Mental disorder']|['HP:0000707 ! Abnormality of the nervous system']|['DOID:150 ! disease of mental health']
C0221505|'brain lesion'|[95]|['Neuro']|['Nervous system disease']|['HP:0000707 ! Abnormality of the nervous system']|['DOID:7 ! disease of anatomical entity']
C0221508|'Nervous breakdown'|[651]|['Mental']|['Mental disorder']|['HP:0000707 ! Abnormality of the nervous system']|['DOID:150 ! disease of mental health']
C0221512|'STOMACH PAIN'|[251]|['GI']|['Digestive system disease']|['HP:0025031 ! Abnormality of the digestive system']|['DOID:7 ! disease of anatomical entity']
C0221541|'Ruptured disk::rupture disc'|[]|[]|[]|[]|[]
C0221745|'SUICIDAL DEPRESSION::DEPRESSION SUICIDAL'|[657]|['Mental']|['Mental disorder']|['HP:0000707 ! Abnormality of the nervous system']|['DOID:150 ! disease of mental health']
C0221757|'alpha-1 anti-trypsin deficiency::Alpha 1-Antitrypsin Disease'|[58]|['Metab']|['Digestive system disease', 'Genetic disease (inborn)', 'Pathology (process)', 'Respiratory tract disease']|['HP:0025031 ! Abnormality of the digestive system']|['DOID:0014667 ! disease of metabolism']
C0221760|'brain cysts::BRAIN CYST'|[95]|['Neuro']|['Cancer', 'Congenital abnormality', 'Nervous system disease']|['HP:0000707 ! Abnormality of the nervous system']|['DOID:7 ! disease of anatomical entity']
C0221764|'Chronic Psychotic disorder'|[659]|['Mental']|['Mental disorder']|['HP:0000707 ! Abnormality of the nervous system']|['DOID:150 ! disease of mental health']
C0221765|'Chronic schizophrenic::CHRONIC SCHIZOPHRENIA'|[659]|['Mental']|['Mental disorder']|['HP:0000707 ! Abnormality of the nervous system']|['DOID:150 ! disease of mental health']
C0221773|'Elevated Amylase'|[152]|['GI']|['Pathology (process)']|['HP:0025031 ! Abnormality of the digestive system']|['DOID:7 ! disease of anatomical entity']
C0221775|'LUMBAR DISC DISEASE'|[205]|['Musc/Skel']|['Musculoskeletal disease', 'Pathology (anatomical condition)']|['HP:0033127 ! Abnormality of the musculoskeletal system']|['DOID:7 ! disease of anatomical entity']
C0221777|'NONTOXIC GOITER::Euthyroid Goiter'|[48]|['Endo']|['Endocrine system disease']|['HP:0000818 ! Abnormality of the endocrine system']|['DOID:7 ! disease of anatomical entity']
C0231217|'Multiple complaints::Numerous complaints::Several symptoms::Multiple symptoms'|[]|[]|['Nervous system disease', 'Signs and symptoms']|[]|[]
C0231230|'fatigueability'|[]|[]|[]|[]|[]
C0231239|'fluctuations'|[]|[]|[]|[]|[]
C0231275|'Exposure to cold NOS'|[244]|['Signs/Symptoms']|['Signs and symptoms']|['HP:0001939 ! Abnormality of metabolism/homeostasis']|[]
C0231528|'MYALGIAS::MYALGIA::MUSCLE PAIN'|[211]|['Musc/Skel']|['Musculoskeletal disease', 'Nervous system disease', 'Signs and symptoms']|['HP:0025142 ! Constitutional symptom']|['DOID:7 ! disease of anatomical entity']
C0231690|'Titubation'|[95]|['Neuro']|['Nervous system disease', 'Signs and symptoms']|['HP:0000707 ! Abnormality of the nervous system']|['DOID:7 ! disease of anatomical entity']
C0231749|'KNEE PAIN::Pain in knee'|[204]|['Musc/Skel']|['Musculoskeletal disease', 'Signs and symptoms']|['HP:0033127 ! Abnormality of the musculoskeletal system']|['DOID:150 ! disease of mental health', 'DOID:7 ! disease of anatomical entity']"
C0231772|'Burning feet'|[95, 211]|['Neuro', 'Signs/Symptoms']|['Signs and symptoms']|['HP:0025142 ! Constitutional symptom']|['DOID:150 ! disease of mental health', 'DOID:7 ! disease of anatomical entity']"
C0231788|'Pronation, foot'|[208]|['Musc/Skel']|['Musculoskeletal disease']|['HP:0040064 ! Abnormality of limbs']|['DOID:7 ! disease of anatomical entity']
C0231918|'NASAL SYMPTOMS'|[]|[]|['Nervous system disease', 'Signs and symptoms']|[]|[]
C0232057|'Secondary apnoea'|[133]|['Resp']|['Respiratory tract disease', 'Signs and symptoms']|['HP:0002086 ! Abnormality of the respiratory system']|['DOID:7 ! disease of anatomical entity']
C0232197|'FIBRILLATION::Heart Fibrillation'|[106]|['Cardio']|['Cardiovascular disease', 'Pathology (process)']|['HP:0001626 ! Abnormality of the cardiovascular system']|['DOID:7 ! disease of anatomical entity']
C0232292|'tightness of chest'|[102]|['Signs/Symptoms']|['Signs and symptoms']|['HP:0025142 ! Constitutional symptom']|['DOID:7 ! disease of anatomical entity']
C0232431|'cold sweats'|[200]|['Derm']|['Skin disease']|['HP:0001574 ! Abnormality of the integument']|['DOID:7 ! disease of anatomical entity']
C0232487|'ABDOMINAL DISCOMFORT'|[251]|['GI']|['Digestive system disease']|['HP:0025031 ! Abnormality of the digestive system']|['DOID:7 ! disease of anatomical entity']
C0232491|'CHRONIC ABDOMINAL PAIN'|[251]|['GI']|['Signs and symptoms']|['HP:0025031 ! Abnormality of the digestive system', 'HP:0025142 ! Constitutional symptom']|['DOID:150 ! disease of mental health', 'DOID:7 ! disease of anatomical entity']"
C0232808|'Non-functioning kidney::Nonfunctioning kidney'|[161]|['Genitourinary']|['Urogenital disease (female)', 'Urogenital disease (male)']|['HP:0000119 ! Abnormality of the genitourinary system']|['DOID:7 ! disease of anatomical entity']
C0232940|'Secondary amenorrhoea'|[171]|['Genitourinary']|['Pathology (process)']|['HP:0000119 ! Abnormality of the genitourinary system']|['DOID:7 ! disease of anatomical entity']
C0232943|'MENOMETRORRHAGIA'|[171]|['Genitourinary']|['Pathology (process)', 'Urogenital disease (female)']|['HP:0000119 ! Abnormality of the genitourinary system']|['DOID:7 ! disease of anatomical entity']
C0233401|'Psychiatric symptoms'|[]|['Mental']|['Mental disorder', 'Nervous system disease', 'Signs and symptoms']|[]|['DOID:150 ! disease of mental health']
C0233407|'Disoriented::DISORIENTATION'|[259]|['Neuro']|['Nervous system disease', 'Signs and symptoms']|['HP:0000707 ! Abnormality of the nervous system']|['DOID:150 ! disease of mental health']
C0233459|'Emotional disorder::Emotional Disease'|[657]|['Mental']|['Mental disorder']|['HP:0000707 ! Abnormality of the nervous system']|['DOID:150 ! disease of mental health']
C0233514|'Behavioral Issue::Behavioral disorders::Behavioural Issue::Psychiatric disorders::Psychiatric disturbances::Behavioral changes'|[652]|['Mental']|['Congenital abnormality', 'Nervous system disease']|['HP:0000707 ! Abnormality of the nervous system']|[]
C0233522|'Odd behavior::bad behavior'|[]|[]|[]|['HP:0000707 ! Abnormality of the nervous system']|[]
C0233523|'antisocial::SOCIOPATHY'|[95]|['Mental']|['Mental disorder']|['HP:0000707 ! Abnormality of the nervous system']|['DOID:150 ! disease of mental health']
C0233558|'Temper Tantrums::Tantrums'|[652]|['Dev']|['Mental disorder']|['HP:0000707 ! Abnormality of the nervous system']|['DOID:150 ! disease of mental health']
C0233560|'Sibling rivalry'|[651]|['Dev']|['Mental disorder']|[]|['DOID:150 ! disease of mental health']
C0233565|'Bradykinesis'|[81]|['Neuro']|['Nervous system disease', 'Signs and symptoms']|['HP:0000707 ! Abnormality of the nervous system']|['DOID:7 ! disease of anatomical entity']
C0233622|'rituals'|[652]|['Mental']|['Mental disorder']|['HP:0000707 ! Abnormality of the nervous system']|['DOID:150 ! disease of mental health']
C0233705|'Fear of cancer'|[651]|['Mental']|['Mental disorder']|[]|['DOID:150 ! disease of mental health']
C0233728|'lisp'|[654]|['Dev', 'Mental']|['Nervous system disease', 'Signs and symptoms']|['HP:0000707 ! Abnormality of the nervous system']|['DOID:150 ! disease of mental health']
C0233750|'Hysterical Amnesia'|[651, 670]|['Mental', 'Neuro']|['Mental disorder', 'Nervous system disease', 'Signs and symptoms']|['HP:0000707 ! Abnormality of the nervous system']|['DOID:150 ! disease of mental health']
C0233756|'Numerous somatic complaints'|[]|[]|[]|[]|[]
C0233762|'Auditory hallucinations'|[259]|['Neuro']|['Nervous system disease', 'Signs and symptoms']|['HP:0000707 ! Abnormality of the nervous system']|['DOID:150 ! disease of mental health']
C0233763|'Hallucinations, Visual'|[89]|['Neuro']|['Nervous system disease', 'Signs and symptoms']|['HP:0000707 ! Abnormality of the nervous system']|['DOID:150 ! disease of mental health']
C0233769|'MICROPSIA'|[89, 259]|['Eye', 'Neuro']|['Eye disease', 'Nervous system disease', 'Signs and symptoms']|['HP:0000478 ! Abnormality of the eye']|['DOID:150 ! disease of mental health', 'DOID:7 ! disease of anatomical entity']"
C0233794|'MEMORY DISTURBANCE::Poor memory::MEMORY IMPAIRMENT::Memory Deficits'|[259]|['Mental']|['Nervous system disease', 'Signs and symptoms']|['HP:0000707 ! Abnormality of the nervous system']|['DOID:150 ! disease of mental health']
C0233844|'CLUMSINESS'|[95, 654]|['Dev', 'Neuro']|['Nervous system disease']|['HP:0000707 ! Abnormality of the nervous system']|['DOID:150 ! disease of mental health', 'DOID:7 ! disease of anatomical entity']"
C0234022|'ANORGASMIA'|[670]|['Mental']|['Mental disorder']|['HP:0000119 ! Abnormality of the genitourinary system']|['DOID:150 ! disease of mental health']
C0234233|'sore'|[670]|['Signs/Symptoms']|['Mental disorder']|['HP:0025142 ! Constitutional symptom']|['DOID:150 ! disease of mental health']
C0234238|'Aching::Aching pain::Aches'|[670]|['Signs/Symptoms']|['Signs and symptoms']|['HP:0025142 ! Constitutional symptom']|['DOID:150 ! disease of mental health']
C0234376|'Action Tremor'|[95]|['Neuro']|['Nervous system disease', 'Signs and symptoms']|['HP:0000707 ! Abnormality of the nervous system']|['DOID:7 ! disease of anatomical entity']
C0234378|'Postural tremor'|[95]|['Neuro']|['Nervous system disease', 'Signs and symptoms']|['HP:0000707 ! Abnormality of the nervous system']|['DOID:7 ! disease of anatomical entity']
C0234387|'Cerebral Diseases::Cerebral Disease'|[95]|['Neuro']|['Nervous system disease']|['HP:0000707 ! Abnormality of the nervous system']|['DOID:7 ! disease of anatomical entity']
C0234461|'Aphasic'|[]|[]|[]|[]|[]
C0234533|'Generalized seizures'|[83]|['Neuro']|['Nervous system disease', 'Signs and symptoms']|['HP:0000707 ! Abnormality of the nervous system']|['DOID:7 ! disease of anatomical entity']
C0234958|'MUSCLE DEGENERATION'|[211]|['Musc/Skel']|['Musculoskeletal disease']|['HP:0033127 ! Abnormality of the musculoskeletal system']|['DOID:7 ! disease of anatomical entity']
C0234972|'Seizures disorder'|[83]|['Neuro']|['Nervous system disease']|['HP:0000707 ! Abnormality of the nervous system']|['DOID:7 ! disease of anatomical entity']
C0234985|'Progressive cognitive decline::Cognitive decline'|[95]|['Mental']|['Mental disorder']|['HP:0000707 ! Abnormality of the nervous system']|['DOID:150 ! disease of mental health']
C0235031|'neurological symptoms::NEUROLOGIC SYMPTOMS'|[95]|['Neuro']|['Nervous system disease', 'Signs and symptoms']|['HP:0000707 ! Abnormality of the nervous system']|['DOID:7 ! disease of anatomical entity']
C0235136|'AGITATED DEPRESSION'|[657]|['Mental']|['Mental disorder']|['HP:0000707 ! Abnormality of the nervous system']|['DOID:150 ! disease of mental health']
C0235162|'Sleep difficulties::Poor sleep::difficulty sleep'|[95, 659]|['Mental']|['Mental disorder']|['HP:0000707 ! Abnormality of the nervous system']|['DOID:150 ! disease of mental health']
C0235169|'EXCITABILITY'|[95, 659]|['Mental']|['Mental disorder']|['HP:0000707 ! Abnormality of the nervous system']|['DOID:150 ! disease of mental health']
C0235183|'IRRESPONSIBILITY'|[95, 659]|['Mental']|['Mental disorder']|['HP:0000707 ! Abnormality of the nervous system']|['DOID:150 ! disease of mental health']
C0235222|'DIASTOLIC HYPERTENSION'|[104]|['Cardio']|['Cardiovascular disease']|['HP:0001626 ! Abnormality of the cardiovascular system']|['DOID:7 ! disease of anatomical entity']
C0235239|'HEART FLUTTERING'|[95]|['Neuro']|['Nervous system disease']|['HP:0001626 ! Abnormality of the cardiovascular system']|['DOID:7 ! disease of anatomical entity']
C0235299|'RIGHT UPPER QUADRANT PAIN'|[251]|['GI']|['Digestive system disease']|['HP:0025031 ! Abnormality of the digestive system']|['DOID:7 ! disease of anatomical entity']
C0235309|'Stomach discomfort::STOMACH UPSET'|[251]|['GI']|['Digestive system disease']|['HP:0025031 ! Abnormality of the digestive system']|['DOID:7 ! disease of anatomical entity']
C0235328|'COLONIC OBSTRUCTION'|[155]|['GI']|['Digestive system disease']|['HP:0025031 ! Abnormality of the digestive system']|['DOID:7 ! disease of anatomical entity']
C0235329|'SMALL BOWEL OBSTRUCTION'|[145]|['GI']|['Digestive system disease']|['HP:0025031 ! Abnormality of the digestive system']|['DOID:7 ! disease of anatomical entity']
C0235369|'Granulomatous Hepatitis'|[151]|['GI']|['Digestive system disease']|['HP:0025031 ! Abnormality of the digestive system']|['DOID:7 ! disease of anatomical entity']
C0235480|'Intermittent atrial fibrillation::ATRIAL FIBRILLATION, PAROXYSMAL'|[106]|['Cardio']|['Cardiovascular disease', 'Pathology (process)']|['HP:0001626 ! Abnormality of the cardiovascular system']|['DOID:7 ! disease of anatomical entity']
C0235488|'Mesenteric embolism'|[155]|['GI']|['Cardiovascular disease']|['HP:0025031 ! Abnormality of the digestive system']|['DOID:7 ! disease of anatomical entity']
C0235522|'disease veins::DISEASES OF THE VEINS::Vein disease::venous disease'|[121]|['Cardio']|['Cardiovascular disease']|['HP:0001626 ! Abnormality of the cardiovascular system']|['DOID:7 ! disease of anatomical entity']
C0235590|'Sclerosing adenosis'|[167]|['Genitourinary']|['Pathology (process)', 'Skin disease']|[]|['DOID:14566 ! disease of cellular proliferation']
C0235653|'Woman breast cancer::breast cancer female'|[24]|['Neoplasms']|['Cancer', 'Skin disease']|['HP:0002664 ! Neoplasm']|['DOID:14566 ! disease of cellular proliferation']
C0235710|'CHEST DISCOMFORT'|[102]|['Signs/Symptoms']|['Signs and symptoms']|['HP:0025142 ! Constitutional symptom']|['DOID:7 ! disease of anatomical entity']
C0235782|'Gallbladder Cancer::Cancer of the Gallbladder::Carcinoma of the Gallbladder::gall bladder carcinoma::Cancer of Gallbladder'|[18]|['Neoplasms']|['Cancer']|['HP:0002664 ! Neoplasm']|['DOID:14566 ! disease of cellular proliferation']
C0235882|'PULMONARY SCLEROSIS'|[133]|['Resp']|['Respiratory tract disease']|['HP:0002086 ! Abnormality of the respiratory system']|['DOID:7 ! disease of anatomical entity']
C0235922|'Benign Breast tumour'|[47]|['Neoplasms']|['Cancer']|['HP:0002664 ! Neoplasm']|['DOID:14566 ! disease of cellular proliferation']
C0235946|'brain atrophy'|[95]|['Neuro']|['Nervous system disease']|['HP:0000707 ! Abnormality of the nervous system']|['DOID:7 ! disease of anatomical entity']
C0235974|'Cancer of the Pancreas::CARCINOMA OF PANCREAS::Cancer of Pancreas::PANCREATIC CANCER::Pancreas Cancer::Pancreas Carcinoma::Carcinoma of the Pancreas::PANCREATIC CARCINOMA'|[17]|['Neoplasms']|['Cancer', 'Digestive system disease', 'Endocrine system disease']|['HP:0025031 ! Abnormality of the digestive system']|['DOID:14566 ! disease of cellular proliferation']
C0236048|'stomach polyps::Gastric polyps'|[47]|['Neoplasms']|['Cancer', 'Digestive system disease']|['HP:0025031 ! Abnormality of the digestive system']|['DOID:7 ! disease of anatomical entity']
C0236075|'Menopausal Symptoms'|[43, 175]|['Genitourinary', 'Neoplasms']|['Cancer', 'Nervous system disease', 'Pathology (process)', 'Signs and symptoms', 'Urogenital disease (female)']|['HP:0000119 ! Abnormality of the genitourinary system', 'HP:0002664 ! Neoplasm']|['DOID:14566 ! disease of cellular proliferation', 'DOID:7 ! disease of anatomical entity']"
C0236642|'pick s disease'|[653]|['Neuro']|['Mental disorder', 'Nervous system disease']|['HP:0000707 ! Abnormality of the nervous system']|['DOID:7 ! disease of anatomical entity']
C0236656|'Alcoholic dementia'|[660]|['Mental', 'Neuro']|['Mental disorder', 'Substance-related disorder']|['HP:0000707 ! Abnormality of the nervous system']|['DOID:150 ! disease of mental health']
C0236663|'ALCOHOL WITHDRAWAL'|[660]|['Mental']|['Mental disorder', 'Substance-related disorder']|['HP:0000707 ! Abnormality of the nervous system']|['DOID:150 ! disease of mental health']
C0236664|'alcohol Disease::alcohol related Disease'|[81, 151, 195, 660]|['Mental']|['Mental disorder', 'Substance-related disorder']|[]|['DOID:150 ! disease of mental health']
C0236734|'caffeine'|[]|['Mental']|['Mental disorder', 'Substance-related disorder']|[]|['DOID:150 ! disease of mental health']
C0236788|'bipolar disorder ii'|[657]|['Mental']|['Mental disorder']|['HP:0000707 ! Abnormality of the nervous system']|['DOID:150 ! disease of mental health']
C0236792|Asperger's Syndrome::Asperger Syndrome::Disease, Asperger|[655]|['Dev']|['Mental disorder']|['HP:0000707 ! Abnormality of the nervous system']|['DOID:150 ! disease of mental health']
C0236933|'Other chemical dependencies'|[]|[]|[]|[]|[]
C0237020|'ovarian Dermoid'|[47]|['Neoplasms']|['Cancer', 'Endocrine system disease', 'Urogenital disease (female)']|['HP:0000119 ! Abnormality of the genitourinary system', 'HP:0002664 ! Neoplasm']|['DOID:14566 ! disease of cellular proliferation']
C0237022|'Multiple Fibroids'|[46]|['Neoplasms']|['Cancer', 'Urogenital disease (female)']|['HP:0000119 ! Abnormality of the genitourinary system']|['DOID:14566 ! disease of cellular proliferation']
C0237123|'substance use'|[]|[]|['Mental disorder', 'Substance-related disorder']|[]|['DOID:150 ! disease of mental health']
C0237236|'Sexual Assault'|[2620]|[]|['Wounds and injuries']|[]|[]
C0237593|'Emotionality'|[]|[]|[]|[]|[]
C0237938|'Gastrointestinal Ulcers'|[18, 141, 155, 199, 244, 251]|['Derm', 'GI', 'Neoplasms']|['Digestive system disease']|['HP:0025031 ! Abnormality of the digestive system']|['DOID:7 ! disease of anatomical entity']
C0238031|'Cystosarcoma Phyllodes of the Breast::Cystosarcoma phylloides - breast'|[44]|['Neoplasms']|['Cancer', 'Skin disease']|['HP:0002664 ! Neoplasm']|['DOID:14566 ! disease of cellular proliferation']
C0238033|'Ca breast - male'|[43]|['Neoplasms']|['Cancer', 'Skin disease']|['HP:0002664 ! Neoplasm']|['DOID:14566 ! disease of cellular proliferation']
C0238047|'Cecal volvulus'|[145]|['GI']|['Digestive system disease', 'Pathology (anatomical condition)']|['HP:0025031 ! Abnormality of the digestive system']|['DOID:7 ! disease of anatomical entity']
C0238067|'COLLAGENOUS COLITIS'|[154]|['GI']|['Digestive system disease']|['HP:0025031 ! Abnormality of the digestive system']|['DOID:7 ! disease of anatomical entity']
